insurer,lob,vehicle_type,policy_type,policy_term,coverage_level,coverage_name,claim_category,claim_trigger,frequency_band,severity_band,avg_claim_amount_inr,max_claim_amount_inr,deductible_applicable,depreciation_applicable,ncb_impact,renewal_impact,fraud_risk_level,loss_ratio_risk,mandatory_documents,common_denial_reasons,profitability_tag,claim_frequency,loss_ratio,pure_premium,risk_loading_factor,volatility_index,risk_zone,state,city,flood_risk_score,theft_risk_score,accident_density_score,avg_settlement_days,fast_track_eligible,cashless_ratio,document_deficiency_rate,repudiation_rate
ACKO,Motor,Private Car,Standalone Own Damage,Annual,Base,Personal Accident,Accident / Liability,Policy Defined Event,Medium,Medium,35000,300000,Yes,Yes,Yes,Medium,Low,Medium,Claim Form|FIR|Photos,Policy Breach,Balanced,0.15,0.9,5250.0,1.08,0.22,Metro,Maharashtra,Chennai,0.75,0.47,0.37,12,False,0.79,0.25,0.03
ACKO,Motor,Private Car,Standalone Own Damage,Annual,Addon,Zero Depreciation,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.5,Rural,Tamil Nadu,Chennai,0.79,0.38,0.79,11,False,0.66,0.25,0.08
ACKO,Motor,Private Car,Standalone Own Damage,Annual,Addon,Engine Protect,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.29,Rural,Gujarat,Chennai,0.84,0.53,0.46,11,False,0.77,0.25,0.08
ACKO,Motor,Private Car,Standalone Own Damage,Annual,Addon,Gearbox Protect,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.25,Urban,Gujarat,Delhi,0.77,0.56,0.83,9,False,0.83,0.25,0.08
ACKO,Motor,Private Car,Standalone Own Damage,Annual,Addon,Consumables,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.66,Rural,Karnataka,Chennai,0.6,0.44,0.76,14,False,0.66,0.25,0.08
ACKO,Motor,Private Car,Standalone Own Damage,Annual,Addon,Tyre Protect,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.27,Urban,Delhi,Delhi,0.73,0.22,0.58,10,False,0.64,0.25,0.08
ACKO,Motor,Private Car,Standalone Own Damage,Annual,Addon,Roadside Assistance,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.55,Urban,Karnataka,Ahmedabad,0.81,0.5,0.78,12,False,0.72,0.25,0.08
ACKO,Motor,Private Car,Standalone Own Damage,Annual,Addon,NCB Protect,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.25,Urban,Delhi,Ahmedabad,0.54,0.56,0.61,8,False,0.55,0.25,0.08
ACKO,Motor,Private Car,Standalone Own Damage,Annual,Addon,Return to Invoice,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.58,Rural,Gujarat,Mumbai,0.62,0.47,0.76,12,False,0.51,0.25,0.08
ACKO,Motor,Private Car,Standalone Own Damage,Annual,Addon,Invoice Cover,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.57,Rural,Maharashtra,Bangalore,0.32,0.67,0.7,8,False,0.82,0.25,0.08
ACKO,Motor,Private Car,Standalone Own Damage,Annual,Addon,PAYD Benefit,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.47,Rural,Maharashtra,Bangalore,0.82,0.77,0.84,9,False,0.59,0.25,0.08
ACKO,Motor,Private Car,Standalone Own Damage,Annual,Addon,EV Addon,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.6,Metro,Delhi,Delhi,0.73,0.47,0.51,8,False,0.6,0.25,0.08
ACKO,Motor,Private Car,Standalone Own Damage,Annual,Addon,EMI Protector,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.29,Rural,Gujarat,Delhi,0.44,0.42,0.88,8,False,0.6,0.25,0.08
ACKO,Motor,Private Car,Standalone Own Damage,Annual,Addon,Loss of Use,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.43,Rural,Tamil Nadu,Ahmedabad,0.57,0.56,0.33,13,False,0.69,0.25,0.08
ACKO,Motor,Private Car,Standalone Own Damage,Annual,Addon,Key Protect,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.39,Metro,Delhi,Mumbai,0.72,0.79,0.4,10,False,0.8,0.25,0.08
ACKO,Motor,Private Car,Standalone Own Damage,Annual,Addon,Personal Belongings,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.48,Urban,Karnataka,Bangalore,0.71,0.23,0.65,10,False,0.71,0.25,0.08
ACKO,Motor,Private Car,Liability Only,Annual,Base,Third Party,Accident / Liability,Policy Defined Event,Medium,Medium,35000,300000,Yes,Yes,Yes,Medium,Low,Medium,Claim Form|FIR|Photos,Policy Breach,Balanced,0.15,0.9,5250.0,1.08,0.2,Rural,Tamil Nadu,Delhi,0.34,0.65,0.65,12,False,0.55,0.25,0.03
ACKO,Motor,Private Car,Liability Only,Annual,Base,Personal Accident,Accident / Liability,Policy Defined Event,Medium,Medium,35000,300000,Yes,Yes,Yes,Medium,Low,Medium,Claim Form|FIR|Photos,Policy Breach,Balanced,0.15,0.9,5250.0,1.08,0.28,Rural,Tamil Nadu,Chennai,0.63,0.56,0.39,8,False,0.61,0.25,0.03
ACKO,Motor,Private Car,Long Term Package,Annual,Base,Own Damage,Accident / Liability,Policy Defined Event,Medium,Medium,35000,300000,Yes,Yes,Yes,Medium,Low,Medium,Claim Form|FIR|Photos,Policy Breach,Balanced,0.15,0.9,5250.0,1.08,0.21,Rural,Maharashtra,Chennai,0.36,0.35,0.43,11,False,0.61,0.25,0.03
ACKO,Motor,Private Car,Long Term Package,Annual,Base,Third Party,Accident / Liability,Policy Defined Event,Medium,Medium,35000,300000,Yes,Yes,Yes,Medium,Low,Medium,Claim Form|FIR|Photos,Policy Breach,Balanced,0.15,0.9,5250.0,1.08,0.43,Urban,Maharashtra,Delhi,0.49,0.32,0.4,7,False,0.68,0.25,0.03
ACKO,Motor,Private Car,Long Term Package,Annual,Base,Personal Accident,Accident / Liability,Policy Defined Event,Medium,Medium,35000,300000,Yes,Yes,Yes,Medium,Low,Medium,Claim Form|FIR|Photos,Policy Breach,Balanced,0.15,0.9,5250.0,1.08,0.55,Urban,Karnataka,Mumbai,0.42,0.49,0.81,12,False,0.67,0.25,0.03
ACKO,Motor,Private Car,Long Term Package,Annual,Addon,Zero Depreciation,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.29,Urban,Maharashtra,Chennai,0.5,0.47,0.52,7,False,0.53,0.25,0.08
ACKO,Motor,Private Car,Long Term Package,Annual,Addon,Engine Protect,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.59,Urban,Maharashtra,Bangalore,0.59,0.8,0.49,8,False,0.73,0.25,0.08
ACKO,Motor,Private Car,Long Term Package,Annual,Addon,Gearbox Protect,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.47,Rural,Karnataka,Chennai,0.81,0.23,0.51,13,False,0.74,0.25,0.08
ACKO,Motor,Private Car,Long Term Package,Annual,Addon,Consumables,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.49,Urban,Maharashtra,Ahmedabad,0.75,0.79,0.42,13,False,0.78,0.25,0.08
ACKO,Motor,Private Car,Long Term Package,Annual,Addon,Tyre Protect,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.48,Rural,Tamil Nadu,Bangalore,0.47,0.6,0.71,13,False,0.56,0.25,0.08
ACKO,Motor,Private Car,Long Term Package,Annual,Addon,Roadside Assistance,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.22,Rural,Gujarat,Bangalore,0.49,0.67,0.37,7,False,0.52,0.25,0.08
ACKO,Motor,Private Car,Long Term Package,Annual,Addon,NCB Protect,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.22,Urban,Gujarat,Mumbai,0.68,0.54,0.62,10,False,0.76,0.25,0.08
ACKO,Motor,Private Car,Long Term Package,Annual,Addon,Return to Invoice,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.63,Metro,Gujarat,Delhi,0.34,0.46,0.5,12,False,0.64,0.25,0.08
ACKO,Motor,Private Car,Long Term Package,Annual,Addon,Invoice Cover,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.37,Urban,Maharashtra,Bangalore,0.72,0.58,0.8,13,False,0.67,0.25,0.08
ACKO,Motor,Private Car,Long Term Package,Annual,Addon,PAYD Benefit,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.31,Rural,Maharashtra,Chennai,0.4,0.69,0.55,10,False,0.76,0.25,0.08
ACKO,Motor,Private Car,Long Term Package,Annual,Addon,EV Addon,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.44,Rural,Gujarat,Bangalore,0.52,0.74,0.52,12,False,0.66,0.25,0.08
ACKO,Motor,Private Car,Long Term Package,Annual,Addon,EMI Protector,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.38,Metro,Karnataka,Delhi,0.54,0.62,0.58,8,False,0.64,0.25,0.08
ACKO,Motor,Private Car,Long Term Package,Annual,Addon,Loss of Use,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.63,Rural,Tamil Nadu,Chennai,0.58,0.32,0.76,11,False,0.84,0.25,0.08
ACKO,Motor,Private Car,Long Term Package,Annual,Addon,Key Protect,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.27,Metro,Karnataka,Ahmedabad,0.36,0.77,0.64,7,False,0.65,0.25,0.08
ACKO,Motor,Private Car,Long Term Package,Annual,Addon,Personal Belongings,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.24,Metro,Delhi,Chennai,0.83,0.26,0.45,9,False,0.54,0.25,0.08
ACKO,Motor,Two Wheeler,Package,Annual,Base,Own Damage,Accident / Liability,Policy Defined Event,Medium,Medium,35000,300000,Yes,Yes,Yes,Medium,Low,Medium,Claim Form|FIR|Photos,Policy Breach,Balanced,0.15,0.9,5250.0,1.08,0.33,Rural,Tamil Nadu,Bangalore,0.63,0.51,0.46,8,False,0.53,0.25,0.03
ACKO,Motor,Two Wheeler,Package,Annual,Base,Third Party,Accident / Liability,Policy Defined Event,Medium,Medium,35000,300000,Yes,Yes,Yes,Medium,Low,Medium,Claim Form|FIR|Photos,Policy Breach,Balanced,0.15,0.9,5250.0,1.08,0.51,Rural,Karnataka,Chennai,0.67,0.42,0.32,10,False,0.52,0.25,0.03
